,number of cases,Population at Year-end (10000 persons),Natural growth rate (‰),"Number of employees at the end of the year (10,000 Persons)",Number of the registered unemployed at the end of year,Average annual salary per urban employee ( Yuan),"Number of average employees on site (10,000 Persons)",Population density (person / square kilometer),Per Capita GDP(yuan),Secondary industry as percentage to GDP,Service Sector as Percentage to GDP,"Total retail sales of social consumer goods (10,000 Yuan)","Government expenditure on Science (10,000 yuan)","Government expenditure on Education (10,000 yuan)",Number of secondary schools,Number of theaters,Collections of public libraries (100 people),Number of employees joining urban basic medical care system,Persons covered of unemployment insurance,"Population (registered residence population) at the end of the year (10,000)","Number of male population (registered residence population) at the end of the year (10,000)","Number of female population (registered residence population) at the end of the year (10,000)",Province,City
0,0,608.0079999999999,9.54,67.6228,31644.066666666666,62658.793333333335,58.36483333333333,257.24666666666667,36500.6,44.026666666666664,41.67,10180335.466666667,61837.46666666667,972797.7999999999,259.0,23.0,30.53,984350.8666666666,452032.80000000005,421.66771428571434,218.5466257142857,203.11905714285714,Yunnan,Lincang
1,0,262.8017142857143,3.6885714285714277,31.98663142857143,28642.0,61967.69571428572,31.211999999999996,53.70928571428571,90488.03571428571,44.19178571428571,44.6075,7879399.171428571,25607.571428571428,522155.0571428571,106.14285714285714,14.142857142857142,72.27857142857144,606709.7142857143,279168.5142857143,262.895,145.18247428571428,135.33666857142856,Inner Mongolia,Wuhai
2,1,81.66199999999999,-2.048,10.0893,8840.8,48290.96,9.762,137.615,27462.0,38.465,47.11,1000963.0,1811.6,83776.8,45.0,3.0,27.7,208099.2,99408.0,81.52199999999998,41.583999999999996,39.971779999999995,Heilongjiang,Qitaihe
3,1,286.42400000000004,13.562,24.40308,10091.2,65480.386,21.344,123.67,74308.75,51.5675,34.3675,4903749.0,41773.8,520682.8,156.4,20.0,169.86,472247.0,293083.4,286.432,149.69,136.57,Fujian,Sanming
4,1,718.8796000000001,7.924266666666667,67.71414266666667,28008.213333333333,49751.920933333335,61.795199999999994,760.757,43912.7884,48.81266666666667,38.58083333333333,11058068.506666664,58388.293333333335,766183.8266666667,340.5066666666666,10.266666666666667,25.26033333333333,796378.3866666667,487342.86666666676,716.3828333333333,,,Henan,Sanmenxia
5,1,192.944,9.894,42.4421,11774.8,73561.942,40.81,230.55,172369.6,63.90500000000001,32.6375,7830615.4,44213.8,503319.6,95.6,20.0,113.15,950668.0,283676.8,192.88,96.264,96.58,Shandong,Dongying
6,1,343.2697777777778,5.015777777777777,43.03754666666666,20061.757407407407,56835.102222222224,40.36022222222222,261.54166666666674,40623.46666666667,46.951388888888886,46.380833333333335,6468323.088888888,31523.911111111112,492354.13333333324,222.77777777777777,13.88888888888889,49.13444444444444,715180.2740740741,399020.77777777775,343.1983333333334,,,Shanxi,Linfen
7,1,262.8017142857143,3.6885714285714277,31.986631428571428,28642.000000000004,61967.69571428572,31.212000000000003,53.70928571428571,90488.03571428571,44.191785714285714,44.6075,7879399.171428572,25607.57142857143,522155.0571428572,106.14285714285714,14.142857142857142,72.27857142857144,606709.7142857143,279168.5142857143,262.895,145.18247428571428,135.33666857142856,Inner Mongolia,Ulanqab
8,1,118.238,-5.254,17.17012,21249.8,36261.094,15.582,37.04,21657.6,20.8725,37.96,1195324.6,3066.4,80321.8,50.4,8.0,70.405,387509.8,125358.8,118.244,58.82000000000001,59.52414000000001,Heilongjiang,Yichun
9,1,108.04450000000001,11.72311111111111,32.03585666666667,4973.733333333334,65996.60266666667,21.77933333333333,435.45166666666665,50681.88888888888,17.35611111111111,62.405555555555544,3109421.733333333,17339.483333333334,220778.7333333333,66.95,6.0,57.50000000000001,291752.60000000003,239962.18333333335,114.08288999999999,58.42494000000001,55.68095,Hainan,Danzhou
10,1,338.54,13.012,23.9539,16753.0,67427.276,20.362,333.54,45073.2,51.095,39.89,3097331.5,43747.2,580974.8,220.4,7.0,13.845,382331.6,160042.2,338.3615,178.24,160.102,Guizhou,Liupanshui
11,1,418.686,0.8000000000000002,29.238440000000004,17763.6,47901.14599999999,29.416,785.405,34235.4,55.445,28.8025,4551487.4,14138.8,382991.8,179.0,9.0,13.32,497156.8,130850.2,418.66600000000005,215.42,203.22,Sichuan,Neijiang
12,1,485.60070588235294,1.633323529411765,58.520343529411775,30673.75882352941,59817.757647058825,38.779294117647055,519.3082352941177,40148.57647058824,52.17161764705883,33.918676470588224,8576830.952941176,48285.23529411765,572844.3647058823,243.87058823529412,10.117647058823529,36.18176470588235,909413.4117647059,390113.71764705883,466.4069473684211,239.67368421052632,226.72842105263157,Sichuan,Liangshan
13,1,223.912,2.146,38.117459999999994,52894.8,64952.38200000001,36.29,80.61500000000002,125332.25,46.4675,50.775,13717690.2,50262.4,502135.4,94.2,17.0,99.08,898551.4,426292.0,223.89,146.4959,138.5521,Inner Mongolia,Baotou
14,1,173.65200000000002,13.886,14.314860000000001,7195.0,56024.046,12.0,511.385,63478.0,50.725,31.902500000000003,2259307.0,26910.2,263864.0,89.4,7.0,37.43,226475.8,110516.6,173.77179999999996,91.2299,82.61128000000001,Guangxi,Beihai
15,1,420.98800000000006,-2.184,38.731359999999995,34894.4,54901.29,38.752,154.02499999999995,55723.5,42.48,48.17,13717451.0,35692.2,572892.6,180.8,4.0,52.435,1230557.6,424280.4,420.98800000000006,211.614,209.43,Jilin,Jilin
16,1,260.04,0.966,37.43714,28127.0,58261.67,36.63,10.385,59238.0,40.9875,41.38500000000001,5946195.4,28748.6,476235.6,138.6,30.0,61.915,711396.4,272695.6,261.05,129.5712,123.2868,Inner Mongolia,Hulunbuir
17,1,453.69022222222225,7.88111111111111,65.13714666666667,29819.155555555557,47159.683999999994,64.19088888888889,489.7033333333333,52238.86111111111,48.833055555555546,37.18916666666667,12548569.933333334,148635.35555555555,641025.7555555556,193.2,21.88888888888889,45.56111111111111,1001762.3555555554,416121.35555555555,447.9445575,,,Hubei,Xianning
18,1,249.34599999999998,4.372,72.02188000000002,33753.2,73310.07800000001,79.084,193.615,75917.0,31.4875,67.4425,12258549.8,93956.0,726372.0,153.4,4.0,86.97,1331813.8,809163.4,281.71133333333336,142.12066666666666,,Xinjiang,Kashgar
19,1,323.502,-1.014,19.09564,13128.2,50347.45200000001,18.33,229.85,35225.5,39.1675,36.6325,5791521.2,6266.0,390072.6,164.2,2.0,20.635,721311.6,215360.8,323.502,163.89600000000004,159.846,Jilin,Siping
20,1,151.014,9.46,6.7816,3465.6,69216.032,6.0520000000000005,116.245,20077.8,27.0175,52.4375,651016.2,6678.8,329010.0,68.0,10.0,38.73,94531.2,61934.0,151.014,62.73468,59.86826,Ningxia,Guyuan
21,1,348.42625,-3.0192499999999995,39.1381875,40459.25,51116.0089375,35.114,109.14874999999998,40350.174999999996,31.950625000000002,41.120625,8171773.524999999,17395.074999999997,405282.94999999995,164.15,18.875,48.475625,737565.0562499999,249634.02500000002,314.91656888888895,158.7984444444444,156.25134888888888,Heilongjiang,Daxing
22,1,333.419975308642,4.862197530864197,43.7283162962963,20239.308230452676,57409.78158024692,41.069580246913574,267.03740740740744,41970.45185185186,46.74293209876543,46.68537037037037,6505565.67654321,33661.65679012347,491260.5703703703,216.44197530864196,12.432098765432098,50.64716049382716,720289.0823045267,404461.77530864195,333.3706481481482,,,Shanxi,Datong
